partition_mode,block_seed,province,metric,oriented_improvement
kmeans,4,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,4,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,4,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,4,haiphong,p95_service_distance_km,4.290980620699314
kmeans,4,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,4,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,4,haiphong,zone_gini,0.014508915736078857
kmeans,4,haiphong,zone_jain,0.015855576904629003
kmeans,4,hanoi,heldout_recall_2km,0.2878872633635114
kmeans,4,hanoi,heldout_temporal_demand_capture,0.12078165326434415
kmeans,4,hanoi,mean_service_distance_km,0.658863361874316
kmeans,4,hanoi,normalized_heldout_capture,0.5911746036429256
kmeans,4,hanoi,p95_service_distance_km,5.421762267971357
kmeans,4,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,4,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,4,hanoi,zone_gini,0.04448238359617659
kmeans,4,hanoi,zone_jain,0.04996648847436256
kmeans,4,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,4,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,4,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,4,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,4,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,4,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,4,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,4,hochiminh,zone_gini,0.03794946766866943
kmeans,4,hochiminh,zone_jain,0.04266807710014873
kmeans,5,cantho,heldout_recall_2km,0.0326165203659217
kmeans,5,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,5,cantho,mean_service_distance_km,3.7748798691200016
kmeans,5,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,5,cantho,p95_service_distance_km,17.392219625965026
kmeans,5,cantho,redundancy_jaccard,0.3662674348264419
kmeans,5,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,5,cantho,zone_gini,0.04607809043108194
kmeans,5,cantho,zone_jain,0.05093622448969295
kmeans,5,danang,heldout_recall_2km,0.02981288859362614
kmeans,5,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,5,danang,mean_service_distance_km,2.265745942432203
kmeans,5,danang,normalized_heldout_capture,0.15784915663167937
kmeans,5,danang,p95_service_distance_km,11.75077213405424
kmeans,5,danang,redundancy_jaccard,0.16655664024301514
kmeans,5,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,5,danang,zone_gini,0.027186893189389123
kmeans,5,danang,zone_jain,0.030653447822059116
kmeans,5,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,5,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,5,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,5,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,5,haiphong,p95_service_distance_km,4.290980620699314
kmeans,5,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,5,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,5,haiphong,zone_gini,0.014508915736078857
kmeans,5,haiphong,zone_jain,0.015855576904629003
kmeans,5,hanoi,heldout_recall_2km,0.2878872633635114
kmeans,5,hanoi,heldout_temporal_demand_capture,0.12078165326434415
kmeans,5,hanoi,mean_service_distance_km,0.658863361874316
kmeans,5,hanoi,normalized_heldout_capture,0.5911746036429256
kmeans,5,hanoi,p95_service_distance_km,5.421762267971357
kmeans,5,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,5,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,5,hanoi,zone_gini,0.04448238359617659
kmeans,5,hanoi,zone_jain,0.04996648847436256
kmeans,5,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,5,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,5,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,5,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,5,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,5,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,5,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,5,hochiminh,zone_gini,0.03794946766866943
kmeans,5,hochiminh,zone_jain,0.04266807710014873
kmeans,6,cantho,heldout_recall_2km,0.0326165203659217
kmeans,6,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,6,cantho,mean_service_distance_km,3.7748798691200016
kmeans,6,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,6,cantho,p95_service_distance_km,17.392219625965026
kmeans,6,cantho,redundancy_jaccard,0.3662674348264419
kmeans,6,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,6,cantho,zone_gini,0.04607809043108194
kmeans,6,cantho,zone_jain,0.05093622448969295
kmeans,6,danang,heldout_recall_2km,0.02981288859362614
kmeans,6,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,6,danang,mean_service_distance_km,2.265745942432203
kmeans,6,danang,normalized_heldout_capture,0.15784915663167937
kmeans,6,danang,p95_service_distance_km,11.75077213405424
kmeans,6,danang,redundancy_jaccard,0.16655664024301514
kmeans,6,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,6,danang,zone_gini,0.027186893189389123
kmeans,6,danang,zone_jain,0.030653447822059116
kmeans,6,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,6,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,6,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,6,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,6,haiphong,p95_service_distance_km,4.290980620699314
kmeans,6,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,6,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,6,haiphong,zone_gini,0.014508915736078857
kmeans,6,haiphong,zone_jain,0.015855576904629003
kmeans,6,hanoi,heldout_recall_2km,0.29112972630690476
kmeans,6,hanoi,heldout_temporal_demand_capture,0.12200488284489835
kmeans,6,hanoi,mean_service_distance_km,0.6570836487668597
kmeans,6,hanoi,normalized_heldout_capture,0.5911746036429255
kmeans,6,hanoi,p95_service_distance_km,5.372321234485002
kmeans,6,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,6,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,6,hanoi,zone_gini,0.04447899296143384
kmeans,6,hanoi,zone_jain,0.049976487887269085
kmeans,6,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,6,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,6,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,6,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,6,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,6,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,6,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,6,hochiminh,zone_gini,0.03794946766866943
kmeans,6,hochiminh,zone_jain,0.04266807710014873
kmeans,7,cantho,heldout_recall_2km,0.0326165203659217
kmeans,7,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,7,cantho,mean_service_distance_km,3.7748798691200016
kmeans,7,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,7,cantho,p95_service_distance_km,17.392219625965026
kmeans,7,cantho,redundancy_jaccard,0.3662674348264419
kmeans,7,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,7,cantho,zone_gini,0.04607809043108194
kmeans,7,cantho,zone_jain,0.05093622448969295
kmeans,7,danang,heldout_recall_2km,0.02981288859362614
kmeans,7,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,7,danang,mean_service_distance_km,2.265745942432203
kmeans,7,danang,normalized_heldout_capture,0.15784915663167937
kmeans,7,danang,p95_service_distance_km,11.75077213405424
kmeans,7,danang,redundancy_jaccard,0.16655664024301514
kmeans,7,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,7,danang,zone_gini,0.027186893189389123
kmeans,7,danang,zone_jain,0.030653447822059116
kmeans,7,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,7,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,7,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,7,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,7,haiphong,p95_service_distance_km,4.290980620699314
kmeans,7,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,7,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,7,haiphong,zone_gini,0.014508915736078857
kmeans,7,haiphong,zone_jain,0.015855576904629003
kmeans,7,hanoi,heldout_recall_2km,0.29112972630690476
kmeans,7,hanoi,heldout_temporal_demand_capture,0.12200488284489835
kmeans,7,hanoi,mean_service_distance_km,0.6570836487668597
kmeans,7,hanoi,normalized_heldout_capture,0.5911746036429255
kmeans,7,hanoi,p95_service_distance_km,5.372321234485002
kmeans,7,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,7,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,7,hanoi,zone_gini,0.04447899296143384
kmeans,7,hanoi,zone_jain,0.049976487887269085
kmeans,7,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,7,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,7,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,7,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,7,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,7,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,7,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,7,hochiminh,zone_gini,0.03794946766866943
kmeans,7,hochiminh,zone_jain,0.04266807710014873
kmeans,8,cantho,heldout_recall_2km,0.0326165203659217
kmeans,8,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,8,cantho,mean_service_distance_km,3.7748798691200016
kmeans,8,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,8,cantho,p95_service_distance_km,17.392219625965026
kmeans,8,cantho,redundancy_jaccard,0.3662674348264419
kmeans,8,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,8,cantho,zone_gini,0.04607809043108194
kmeans,8,cantho,zone_jain,0.05093622448969295
kmeans,8,danang,heldout_recall_2km,0.02981288859362614
kmeans,8,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,8,danang,mean_service_distance_km,2.265745942432203
kmeans,8,danang,normalized_heldout_capture,0.15784915663167937
kmeans,8,danang,p95_service_distance_km,11.75077213405424
kmeans,8,danang,redundancy_jaccard,0.16655664024301514
kmeans,8,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,8,danang,zone_gini,0.027186893189389123
kmeans,8,danang,zone_jain,0.030653447822059116
kmeans,8,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,8,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,8,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,8,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,8,haiphong,p95_service_distance_km,4.290980620699314
kmeans,8,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,8,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,8,haiphong,zone_gini,0.014508915736078857
kmeans,8,haiphong,zone_jain,0.015855576904629003
kmeans,8,hanoi,heldout_recall_2km,0.2878872633635114
kmeans,8,hanoi,heldout_temporal_demand_capture,0.12078165326434415
kmeans,8,hanoi,mean_service_distance_km,0.658863361874316
kmeans,8,hanoi,normalized_heldout_capture,0.5911746036429256
kmeans,8,hanoi,p95_service_distance_km,5.421762267971357
kmeans,8,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,8,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,8,hanoi,zone_gini,0.04448238359617659
kmeans,8,hanoi,zone_jain,0.04996648847436256
kmeans,8,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,8,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,8,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,8,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,8,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,8,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,8,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,8,hochiminh,zone_gini,0.03794946766866943
kmeans,8,hochiminh,zone_jain,0.04266807710014873
kmeans,42,cantho,heldout_recall_2km,0.0326165203659217
kmeans,42,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,42,cantho,mean_service_distance_km,3.7748798691200016
kmeans,42,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,42,cantho,p95_service_distance_km,17.392219625965026
kmeans,42,cantho,redundancy_jaccard,0.3662674348264419
kmeans,42,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,42,cantho,zone_gini,0.04607809043108194
kmeans,42,cantho,zone_jain,0.05093622448969295
kmeans,42,danang,heldout_recall_2km,0.02981288859362614
kmeans,42,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,42,danang,mean_service_distance_km,2.265745942432203
kmeans,42,danang,normalized_heldout_capture,0.15784915663167937
kmeans,42,danang,p95_service_distance_km,11.75077213405424
kmeans,42,danang,redundancy_jaccard,0.16655664024301514
kmeans,42,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,42,danang,zone_gini,0.027186893189389123
kmeans,42,danang,zone_jain,0.030653447822059116
kmeans,42,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,42,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,42,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,42,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,42,haiphong,p95_service_distance_km,4.290980620699314
kmeans,42,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,42,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,42,haiphong,zone_gini,0.014508915736078857
kmeans,42,haiphong,zone_jain,0.015855576904629003
kmeans,42,hanoi,heldout_recall_2km,0.29112972630690476
kmeans,42,hanoi,heldout_temporal_demand_capture,0.12200488284489835
kmeans,42,hanoi,mean_service_distance_km,0.6570836487668597
kmeans,42,hanoi,normalized_heldout_capture,0.5911746036429255
kmeans,42,hanoi,p95_service_distance_km,5.372321234485002
kmeans,42,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,42,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,42,hanoi,zone_gini,0.04447899296143384
kmeans,42,hanoi,zone_jain,0.049976487887269085
kmeans,42,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,42,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,42,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,42,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,42,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,42,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,42,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,42,hochiminh,zone_gini,0.03794946766866943
kmeans,42,hochiminh,zone_jain,0.04266807710014873
